chave,registrado,recontado,bate
"tce_n_registros_finais","34068","34068",TRUE
"tce_n_pareados_linhas","26402","26402",TRUE
"tce_n_mandatos_pareados","10234","10234",TRUE
"tce_n_pessoas_pareadas","8003","8003",TRUE
"tce_taxa_pareamento_linhas","0.775","0.775",TRUE
"tce_n_municipios_cobertos","1468","1468",TRUE
"tce_n_mandatos_pareados_uf_BA","4097","4097",TRUE
"tce_n_mandatos_pareados_uf_ES","3262","3262",TRUE
"tce_n_mandatos_pareados_uf_MS","73","73",TRUE
"tce_n_mandatos_pareados_uf_RJ","235","235",TRUE
"tce_n_mandatos_pareados_uf_RS","402","402",TRUE
"tce_n_mandatos_pareados_uf_SC","12","12",TRUE
"tce_n_mandatos_pareados_uf_SP","2153","2153",TRUE
"tce_n_prefeitura_relacao_indeterminado","5415","5415",TRUE
"tce_n_prefeitura_relacao_titular_eleito","11032","11032",TRUE
"tce_n_prefeitura_relacao_vice_eleito","410","410",TRUE
"tceb_n_registros_finais","18137","18137",TRUE
"tceb_n_pareados_linhas","15333","15333",TRUE
"tceb_n_mandatos_pareados","14978","14978",TRUE
"tceb_n_mandatos_com_saida_observada","10360","10360",TRUE
"tceb_n_mandatos_pareados_uf_PB","7687","7687",TRUE
"tceb_n_mandatos_pareados_uf_PE","6795","6795",TRUE
"tceb_n_mandatos_pareados_uf_PI","496","496",TRUE
"tcev_a_n_mandatos_com_saida_observada","0","0",TRUE
"tcev_b_n_mandatos_com_saida_observada","10360","10360",TRUE
"tcev_a_n_linhas_com_data","0","0",TRUE
"tcev_a_n_linhas_forma_saida_outro","410","410",TRUE
"tcev_a_n_linhas_forma_saida_outro_pareadas","0","0",TRUE
"tcev_a_n_mandatos_titular_substituido_pelo_vice","234","234",TRUE
"tcev_a_n_linhas_duplicadas_integrais","1","1",TRUE
"tcev_b_n_linhas_duplicadas_integrais","2","2",TRUE
"tcev_a_n_linhas_nao_utf8","0","0",TRUE
"tcev_b_n_linhas_nao_utf8","0","0",TRUE
"tcev_a_n_titulares_substituidos_sem_saida_hoje","176","176",TRUE
"tcev_n_mandatos_tce_em_mandatos_csv","8340","8340",TRUE
"tcev_n_mandatos_candidatos_tce","9374","9374",TRUE
"tcev_n_mandatos_candidatos_tce_a","0","0",TRUE
"tcev_n_mandatos_candidatos_tce_b","9374","9374",TRUE
